date,total_seedless_lb,mx_seedless_lb,colombia_seedless_lb,peru_seedless_lb,truck_seedless_lb,boat_seedless_lb,organic_seedless_lb,pharr_seedless_lb
2018-04-14,2878693,2878693,0,0,2878693,0,0,2480227
2018-04-15,3392385,3392385,0,0,3392385,0,0,3070001
2018-04-16,4541143,4541143,0,0,4541143,0,0,3306582
2018-04-17,1984922,1984922,0,0,1984922,0,0,1516271
2018-04-18,2403414,2403414,0,0,2403414,0,0,2070679
2018-04-19,3816634,3816634,0,0,3816634,0,0,3004188
2018-04-20,3938631,3938631,0,0,3938631,0,0,2961167
2018-04-21,2978910,2978910,0,0,2978910,0,0,2466129
2018-04-22,2627501,2627501,0,0,2627501,0,0,2223634
2018-04-23,4267653,4267653,0,0,4267653,0,0,3089262
2018-04-24,1273650,1273650,0,0,1273650,0,0,990323
2018-04-25,1991382,1991382,0,0,1991382,0,0,1464437
2018-04-26,2886429,2886429,0,0,2886429,0,0,2607398
2018-04-27,4100868,4100868,0,0,4100868,0,0,3459909
2018-04-28,1210097,1210097,0,0,1210097,0,0,883656
2018-04-29,2164356,2164356,0,0,2164356,0,0,1958570
2018-04-30,4717133,4717133,0,0,4717133,0,0,3632508
2018-05-01,835888,835888,0,0,835888,0,0,509577
2018-05-02,1396669,1396669,0,0,1396669,0,0,1121626
2018-05-03,3878927,3878927,0,0,3878927,0,0,3125742
2018-05-04,4792695,4792695,0,0,4792695,0,0,3834169
2018-05-05,3317747,3317747,0,0,3317747,0,0,2702603
2018-05-06,2940933,2940933,0,0,2940933,0,0,2539535
2018-05-07,6245436,6245436,0,0,6245436,0,0,4844475
2018-05-08,2982459,2982459,0,0,2982459,0,0,2393457
2018-05-09,3054743,3054743,0,0,3054743,0,0,2471475
2018-05-10,468061,468061,0,0,468061,0,0,0
2018-05-11,4135206,4135206,0,0,4135206,0,0,3565995
2018-05-12,3170986,3170986,0,0,3170986,0,0,2499031
2018-05-13,2611674,2611674,0,0,2611674,0,0,2154444
2018-05-14,6734002,6734002,0,0,6734002,0,0,5077224
2018-05-15,2275678,2275678,0,0,2275678,0,0,1997182
2018-05-16,2587602,2587602,0,0,2587602,0,0,1872981
2018-05-17,5847342,5847342,0,0,5847342,0,0,5115466
2018-05-18,7414508,7414508,0,0,7414508,0,0,6579097
2018-05-19,3640448,3640448,0,0,3640448,0,0,3214900
2018-05-20,703443,703443,0,0,703443,0,0,309696
2018-05-21,6311814,6311814,0,0,6311814,0,0,4288952
2018-05-22,2722346,2722346,0,0,2722346,0,0,2128032
2018-05-23,3065330,3065330,0,0,3065330,0,0,2345576
2018-05-24,3735165,3735165,0,0,3735165,0,0,3081383
2018-05-25,4945822,4945822,0,0,4945822,0,0,3742204
2018-05-26,6154574,6154574,0,0,6154574,0,0,5368719
2018-05-27,230677,230677,0,0,230677,0,0,149299
2018-05-28,6454054,6454054,0,0,6454054,0,0,5280719
2018-05-29,2530572,2530572,0,0,2530572,0,0,1642362
2018-05-30,2309643,2309643,0,0,2309643,0,0,1686979
2018-05-31,3791911,3791911,0,0,3791911,0,0,3112859
2018-06-01,3610245,3610245,0,0,3610245,0,0,2774697
2018-06-02,2874775,2874775,0,0,2874775,0,0,2479206
2018-06-03,3798485,3798485,0,0,3798485,0,0,3398072
2018-06-04,4763323,4763323,0,0,4763323,0,0,3589056
2018-06-05,1786070,1786070,0,0,1786070,0,0,1447479
2018-06-06,2388129,2388129,0,0,2388129,0,0,1706753
2018-06-07,3614112,3614112,0,0,3614112,0,0,2890382
2018-06-08,4599859,4599859,0,0,4599859,0,0,3748985
2018-06-09,3328523,3328523,0,0,3328523,0,0,2820917
2018-06-10,1689480,1689480,0,0,1689480,0,0,1308392
2018-06-11,5574592,5574592,0,0,5574592,0,0,4513879
2018-06-12,1763750,1763750,0,0,1763750,0,0,1369036
2018-06-13,1942697,1942697,0,0,1942697,0,0,1391859
2018-06-14,3959725,3959725,0,0,3959725,0,0,3498572
2018-06-15,5003990,5003990,0,0,5003990,0,0,4090535
2018-06-16,3393678,3393678,0,0,3393678,0,0,2916344
2018-06-17,840781,840781,0,0,840781,0,0,593204
2018-06-18,4719491,4719491,0,0,4719491,0,0,3755285
2018-06-19,2117643,2117643,0,0,2117643,0,0,1459332
2018-06-20,2799014,2799014,0,0,2799014,0,0,2182376
2018-06-21,3719809,3719809,0,0,3719809,0,0,3011657
2018-06-22,5149098,5149098,0,0,5149098,0,0,4284239
2018-06-23,4292983,4292983,0,0,4292983,0,0,3681242
2018-06-24,2594478,2594478,0,0,2594478,0,0,2351578
2018-06-25,7117081,7117081,0,0,7117081,0,0,5858006
2018-06-26,2873237,2873237,0,0,2873237,0,0,2403333
2018-06-27,3347471,3347471,0,0,3347471,0,0,2968574
2018-06-28,3645235,3645235,0,0,3645235,0,0,2950282
2018-06-29,6189746,6189746,0,0,6189746,0,0,4908556
2018-06-30,3471091,3471091,0,0,3471091,0,0,2793003
2018-07-01,2870710,2870710,0,0,2870710,0,0,2386195
2018-07-02,5999437,5999437,0,0,5999437,0,0,4461391
2018-07-03,2132396,2132396,0,0,2132396,0,0,1700140
2018-07-04,1402267,1402267,0,0,1402267,0,0,918518
2018-07-05,4094032,4094032,0,0,4094032,0,0,2939981
2018-07-06,4160594,4160594,0,0,4160594,0,0,3181775
2018-07-07,2514536,2514536,0,0,2514536,0,0,2197160
2018-07-08,634949,634949,0,0,634949,0,0,212566
2018-07-09,3929321,3929321,0,0,3929321,0,0,3009151
2018-07-10,1950330,1950330,0,0,1950330,0,0,1451014
2018-07-11,3513867,3513867,0,0,3513867,0,0,2629787
2018-07-12,3326370,3326370,0,0,3326370,0,0,2273223
2018-07-13,3763047,3763047,0,0,3763047,0,0,3212541
2018-07-14,5821310,5821310,0,0,5821310,0,0,5382718
2018-07-15,211838,211838,0,0,211838,0,0,211838
2018-07-16,5853460,5853460,0,0,5853460,0,0,5194348
2018-07-17,2533812,2533812,0,0,2533812,0,0,1629256
2018-07-18,2821551,2821551,0,0,2821551,0,0,2006836
2018-07-19,4254054,4254054,0,0,4254054,0,0,3481885
2018-07-20,4754395,4754395,0,0,4754395,0,0,3861212
2018-07-21,4647357,4647357,0,0,4647357,0,0,4217037
2018-07-22,195283,195283,0,0,195283,0,0,0
2018-07-23,5747347,5747347,0,0,5747347,0,0,4379705
2018-07-24,2055402,2055402,0,0,2055402,0,0,1191014
2018-07-25,670203,670203,0,0,670203,0,0,0
2018-07-26,360132,360132,0,0,360132,0,0,0
2018-07-27,5322841,5322841,0,0,5322841,0,0,4303557
2018-07-28,3367375,3367375,0,0,3367375,0,0,2996039
2018-07-29,1957108,1957108,0,0,1957108,0,0,1134652
2018-07-30,4999443,4999443,0,0,4999443,0,0,3663143
2018-07-31,1614033,1614033,0,0,1614033,0,0,992031
2018-08-01,2225646,2225646,0,0,2225646,0,0,1509163
2018-08-02,3837460,3837460,0,0,3837460,0,0,3131629
2018-08-03,6845414,6845414,0,0,6845414,0,0,5998929
2018-08-04,2133791,2133791,0,0,2133791,0,0,1795079
2018-08-05,4582130,4582130,0,0,4582130,0,0,4159358
2018-08-06,4982276,4982276,0,0,4982276,0,0,4015939
2018-08-07,1203572,1203572,0,0,1203572,0,0,786192
2018-08-08,480823,480823,0,0,480823,0,0,0
2018-08-09,5349058,5349058,0,0,5349058,0,0,4548100
2018-08-10,4269005,4269005,0,0,4269005,0,0,3162161
2018-08-11,4296551,4296551,0,0,4296551,0,0,3805903
2018-08-12,4116212,4116212,0,0,4116212,0,0,3882555
2018-08-13,6530170,6530170,0,0,6530170,0,0,5084847
2018-08-14,2099356,2099356,0,0,2099356,0,0,1360266
2018-08-15,2982592,2982592,0,0,2982592,0,0,2069579
2018-08-16,4859503,4859503,0,0,4859503,0,0,3868000
2018-08-17,4718164,4718164,0,0,4718164,0,0,4164693
2018-08-18,3947399,3947399,0,0,3947399,0,0,3342839
2018-08-19,2987070,2987070,0,0,2987070,0,0,2529606
2018-08-20,6514022,6514022,0,0,6514022,0,0,5296696
2018-08-21,1987135,1987135,0,0,1987135,0,0,1255921
2018-08-22,2675586,2675586,0,0,2675586,0,0,2225901
2018-08-23,4212479,4212479,0,0,4212479,0,0,3493490
2018-08-24,4021619,4021619,0,0,4021619,0,0,3432251
2018-08-25,2642683,2642683,0,0,2642683,0,0,2361179
2018-08-26,3051523,3051523,0,0,3051523,0,0,2562899
2018-08-27,5215395,5215395,0,0,5215395,0,0,3857251
2018-08-28,1419926,1419926,0,0,1419926,0,0,916104
2018-08-29,2139129,2139129,0,0,2139129,0,0,1448414
2018-08-30,3664122,3664122,0,0,3664122,0,0,2726596
2018-08-31,4664515,4664515,0,0,4664515,0,0,3687171
2018-09-01,2015642,2015642,0,0,2015642,0,0,1556599
2018-09-02,3674806,3674806,0,0,3674806,0,0,3516476
2018-09-03,5428512,5428512,0,0,5428512,0,0,3886559
2018-09-04,2022426,2022426,0,0,2022426,0,0,1615334
2018-09-05,2209811,2209811,0,0,2209811,0,0,1606228
2018-09-06,3469122,3469122,0,0,3469122,0,0,2678413
2018-09-07,4232966,4232966,0,0,4232966,0,0,3546620
2018-09-08,2786221,2786221,0,0,2786221,0,0,2531699
2018-09-09,2485514,2485514,0,0,2485514,0,0,2224378
2018-09-10,4921302,4921302,0,0,4921302,0,0,3853777
2018-09-11,2298455,2298455,0,0,2298455,0,0,1723155
2018-09-12,1910585,1910585,0,0,1910585,0,0,1377862
2018-09-13,484315,484315,0,0,484315,0,0,0
2018-09-14,4333749,4333749,0,0,4333749,0,0,3574714
2018-09-15,3780861,3780861,0,0,3780861,0,0,3120443
2018-09-16,2185749,2185749,0,0,2185749,0,0,1914196
2018-09-17,6165308,6165308,0,0,6165308,0,0,4923996
2018-09-18,1130202,1130202,0,0,1130202,0,0,918355
2018-09-19,578113,578113,0,0,578113,0,0,0
2018-09-20,3806887,3806887,0,0,3806887,0,0,3182870
2018-09-21,4623196,4623196,0,0,4623196,0,0,3826466
2018-09-22,5738390,5738390,0,0,5738390,0,0,5506770
2018-09-23,422405,422405,0,0,422405,0,0,143616
2018-09-24,7194407,7194407,0,0,7194407,0,0,5661854
2018-09-25,2344222,2344222,0,0,2344222,0,0,1971064
2018-09-26,2182064,2182064,0,0,2182064,0,0,1661596
2018-09-27,4038609,4038609,0,0,4038609,0,0,3423893
2018-09-28,4023207,4023207,0,0,4023207,0,0,3192911
2018-09-29,2857859,2857859,0,0,2857859,0,0,2561970
2018-09-30,3118322,3118322,0,0,3118322,0,0,2753894
2018-10-01,4801434,4801434,0,0,4801434,0,0,3614565
2018-10-02,1642530,1642530,0,0,1642530,0,0,1140011
2018-10-03,2165266,2165266,0,0,2165266,0,0,1810323
2018-10-04,3048941,3048941,0,0,3048941,0,0,2715726
2018-10-05,3655893,3655893,0,0,3655893,0,0,2970687
2018-10-06,3483682,3483682,0,0,3483682,0,0,3192041
2018-10-07,2845287,2845287,0,0,2845287,0,0,2138105
2018-10-08,4953516,4953516,0,0,4953516,0,0,3715950
2018-10-09,1662780,1662780,0,0,1662780,0,0,1364152
2018-10-10,2635745,2635745,0,0,2635745,0,0,1980726
2018-10-11,7354474,7354474,0,0,7354474,0,0,6693891
2018-10-12,5283546,5283546,0,0,5283546,0,0,4269047
2018-10-13,879008,879008,0,0,879008,0,0,748618
2018-10-14,2018768,2018768,0,0,2018768,0,0,1641877
2018-10-15,6101845,6101845,0,0,6101845,0,0,4648281
2018-10-16,3167170,3167170,0,0,3167170,0,0,2500196
2018-10-17,1860377,1860377,0,0,1860377,0,0,1157477
2018-10-18,2391760,2391760,0,0,2391760,0,0,2015343
2018-10-19,2493504,2493504,0,0,2493504,0,0,2069370
2018-10-20,1636175,1636175,0,0,1636175,0,0,1230423
2018-10-21,1651657,1651657,0,0,1651657,0,0,1180676
2018-10-22,2251598,2251598,0,0,2251598,0,0,1673993
2018-10-23,908226,908226,0,0,908226,0,0,864024
2018-10-24,1128140,1128140,0,0,1128140,0,0,706319
2018-10-25,3737112,3737112,0,0,3737112,0,0,2928356
2018-10-26,7843195,7843195,0,0,7843195,0,0,6703271
2018-10-27,3992719,3992719,0,0,3992719,0,0,3293094
2018-10-28,1803374,1803374,0,0,1803374,0,0,1440795
2018-10-29,6666917,6666917,0,0,6666917,0,0,5457760
2018-10-30,2786916,2786916,0,0,2786916,0,0,1957650
2018-10-31,3329534,3329534,0,0,3329534,0,0,2814011
2018-11-01,3109962,3109962,0,0,3109962,0,0,2537443
2018-11-02,3475658,3475658,0,0,3475658,0,0,2684799
2018-11-03,5094637,5094637,0,0,5094637,0,0,4818229
2018-11-04,2593760,2593760,0,0,2593760,0,0,2162813
2018-11-05,3776273,3776273,0,0,3776273,0,0,2579429
2018-11-06,1346571,1346571,0,0,1346571,0,0,1012572
2018-11-07,2261549,2261549,0,0,2261549,0,0,1954201
2018-11-08,3611471,3611471,0,0,3611471,0,0,2821581
2018-11-09,4209823,4209823,0,0,4209823,0,0,3523597
2018-11-10,4416115,4416115,0,0,4416115,0,0,3976529
2018-11-11,3109312,3109312,0,0,3109312,0,0,2852160
2018-11-12,4475387,4475387,0,0,4475387,0,0,3670374
2018-11-13,2440764,2440764,0,0,2440764,0,0,1883488
2018-11-14,2189816,2189816,0,0,2189816,0,0,1868968
2018-11-15,3809872,3809872,0,0,3809872,0,0,2900034
2018-11-16,4055516,4055516,0,0,4055516,0,0,3309141
2018-11-17,1747834,1747834,0,0,1747834,0,0,1377895
2018-11-18,2260794,2260794,0,0,2260794,0,0,2041164
2018-11-19,4430452,4430452,0,0,4430452,0,0,3600278
2018-11-20,2950004,2950004,0,0,2950004,0,0,2503369
2018-11-21,3124343,3124343,0,0,3124343,0,0,2799316
2018-11-22,1664648,1664648,0,0,1664648,0,0,1271945
2018-11-23,5079388,5079388,0,0,5079388,0,0,4462603
2018-11-24,4924685,4924685,0,0,4924685,0,0,4495626
2018-11-25,2843344,2843344,0,0,2843344,0,0,2475968
2018-11-26,3897421,3897421,0,0,3897421,0,0,2681921
