report_date,published_date,market_location_name,district,commodity,var,pkg,size,appearance_raw,quality_proxy,low_price,high_price,mostly_low_price,mostly_high_price,price_mid,market_tone_comments,demand_tone_comments,commodity_comments,report_title,slug_name
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,NO_APPEARANCE,#1.5,43.0,48.0,44.0,46.0,45.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,Fair Appearance,#2,38.0,42.0,38.0,40.0,39.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,Fine Appearance,#1,50.0,56.0,52.0,54.0,53.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,NO_APPEARANCE,#1.5,41.0,45.0,42.0,44.0,43.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-02,2026-03-02 16:29:00,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,Fair Appearance,#2,37.0,40.0,40.0,40.0,40.0,About Steady,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,Fine Appearance,#1,50.0,56.0,53.0,55.0,54.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,NO_APPEARANCE,#1.5,40.0,45.0,42.0,44.0,43.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,Fair Appearance,#2,36.0,40.0,37.0,39.0,38.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,Fine Appearance,#1,50.0,57.0,53.0,55.0,54.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,NO_APPEARANCE,#1.5,43.0,48.0,44.0,46.0,45.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,Fair Appearance,#2,37.0,42.0,38.0,40.0,39.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,Fine Appearance,#1,50.0,56.0,53.0,56.0,54.5,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,NO_APPEARANCE,#1.5,43.0,48.0,45.0,47.0,46.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,Fair Appearance,#2,36.0,44.0,40.0,42.0,41.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,Fine Appearance,#1,52.0,57.0,55.0,57.0,56.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,NO_APPEARANCE,#1.5,44.0,50.0,45.0,47.0,46.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,Fair Appearance,#2,40.0,44.0,41.0,43.0,42.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,Fine Appearance,#1,52.0,57.0,55.0,57.0,56.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,NO_APPEARANCE,#1.5,44.0,50.0,44.0,47.0,45.5,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,Fair Appearance,#2,38.0,44.0,40.0,42.0,41.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,Fine Appearance,#1,50.0,57.0,53.0,56.0,54.5,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,NO_APPEARANCE,#1.5,43.0,49.0,44.0,46.0,45.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-03,2026-03-03 16:00:53,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,Fair Appearance,#2,38.0,42.0,40.0,42.0,41.0,Slightly Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,Fine Appearance,#1,54.0,60.0,58.0,60.0,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,NO_APPEARANCE,#1.5,44.0,50.0,46.0,48.0,47.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,Fair Appearance,#2,40.0,46.0,41.0,44.0,42.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,Fine Appearance,#1,54.0,60.0,57.0,60.0,58.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,NO_APPEARANCE,#1.5,47.0,52.0,48.0,50.0,49.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,Fair Appearance,#2,41.0,46.0,42.0,45.0,43.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,Fine Appearance,#1,54.0,60.0,58.0,60.0,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,NO_APPEARANCE,#1.5,47.0,52.0,49.0,52.0,50.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,Fair Appearance,#2,40.0,48.0,44.0,46.0,45.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,Fine Appearance,#1,56.0,60.0,58.0,60.0,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,NO_APPEARANCE,#1.5,48.0,54.0,50.0,54.0,52.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,Fair Appearance,#2,44.0,49.0,45.0,48.0,46.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,Fine Appearance,#1,56.0,60.0,58.0,60.0,59.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,NO_APPEARANCE,#1.5,48.0,54.0,48.0,51.0,49.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,Fair Appearance,#2,42.0,48.0,44.0,46.0,45.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
