report_date,published_date,market_location_name,district,commodity,var,pkg,size,appearance_raw,quality_proxy,low_price,high_price,mostly_low_price,mostly_high_price,price_mid,market_tone_comments,demand_tone_comments,commodity_comments,report_title,slug_name
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,Fine Appearance,#1,54.0,60.0,57.0,60.0,58.5,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,NO_APPEARANCE,#1.5,47.0,54.0,48.0,50.0,49.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-04,2026-03-04 16:24:04,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,250,Fair Appearance,#2,42.0,46.0,44.0,46.0,45.0,Higher,FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,Fine Appearance,#1,54.0,62.0,59.0,61.0,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,NO_APPEARANCE,#1.5,46.0,54.0,48.0,52.0,50.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,110,Fair Appearance,#2,44.0,52.0,44.0,47.0,45.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,Fine Appearance,#1,56.0,62.0,59.0,61.0,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,NO_APPEARANCE,#1.5,48.0,56.0,49.0,52.0,50.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,150,Fair Appearance,#2,44.0,52.0,44.0,47.0,45.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,Fine Appearance,#1,54.0,62.0,59.0,61.0,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,NO_APPEARANCE,#1.5,49.0,55.0,50.0,53.0,51.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,175,Fair Appearance,#2,42.0,52.0,45.0,48.0,46.5,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,Fine Appearance,#1,56.0,62.0,59.0,61.0,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,NO_APPEARANCE,#1.5,48.0,56.0,51.0,55.0,53.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,200,Fair Appearance,#2,45.0,54.0,46.0,50.0,48.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
2026-03-05,2026-03-05 17:00:05,Mcallen FOB SC,MEXICO CROSSINGS THROUGH TEXAS,Limes,SEEDLESS TYPE,40 lb cartons,230,Fine Appearance,#1,56.0,62.0,59.0,61.0,60.0,"Seeded Higher, Seedless Slightly Higher.",FAIRLY GOOD,Wide range in quality and condition. Many present shipments from prior bookings and/or previous commitments.,Phoenix Shipping Point Fruit Prices (IX_FV110),IX_FV110
