comparison_run_datetime,run_datetime,forecast_family,market,size,quality,last_date,last_official_price,expected_date_1d,predicted_target_1d,actual_price_1d,error_1d,abs_error_1d,direction_1d,actual_direction_1d,direction_hit_1d,expected_date_3d,predicted_target_3d,actual_price_3d,error_3d,abs_error_3d,direction_3d,actual_direction_3d,direction_hit_3d,mae_1d,rmse_1d,mae_3d,rmse_3d,rows_used_1d,rows_used_3d
2026-03-18 07:08:06,2026-03-18 02:09:09,BASE_MULTI_SIZE_V2,US_MCALLEN,175,BASE,2026-03-16,59.0,2026-03-17,58.6813,61.0,2.3186999999999998,2.3186999999999998,BAJA,SUBE,FALSE,2026-03-19,59.5218,,,,SUBE,,,1.3144,2.066,2.7124,3.7439,2311,2309
2026-03-18 07:08:06,2026-03-18 02:09:09,BASE_MULTI_SIZE_V2,US_MCALLEN,200,BASE,2026-03-16,58.0,2026-03-17,58.651,60.0,1.3489999999999966,1.3489999999999966,SUBE,SUBE,TRUE,2026-03-19,59.6866,,,,SUBE,,,1.3471,2.0699,2.4071,3.488,2381,2379
2026-03-18 07:08:06,2026-03-18 02:09:09,BASE_MULTI_SIZE_V2,US_MCALLEN,230,BASE,2026-03-16,57.0,2026-03-17,58.3231,55.0,-3.3230999999999966,3.3230999999999966,SUBE,BAJA,FALSE,2026-03-19,60.3132,,,,SUBE,,,1.3673,2.1306,2.4745,3.6061,2386,2384
2026-03-18 07:08:06,2026-03-18 02:09:09,BASE_MULTI_SIZE_V2,US_MCALLEN,250,BASE,2026-03-16,55.0,2026-03-17,55.6532,53.0,-2.6531999999999982,2.6531999999999982,SUBE,BAJA,FALSE,2026-03-19,56.9778,,,,SUBE,,,1.2992,2.1431,2.4114,3.6204,2374,2372
