date,precio_mxn_kg,calibre,nota
2026-04-03,38.0,175,1 de abril 2026
2026-04-03,38.0,200,1 de abril 2026
2026-04-03,35.0,200,1 de abril 2026
2026-04-03,35.0,175,1 de abril 2026
