date,usd_mxn,usd_mxn_lag1,usd_mxn_lag3,usd_mxn_chg_3d,usd_mxn_chg_7d,usd_mxn_ma7,peso_debil_7d
2018-01-02,19.4899,,,,,,0
2018-01-03,19.3717,19.4899,,,,,0
2018-01-04,19.2427,19.3717,,,,,0
2018-01-05,19.2737,19.2427,19.4899,-0.21619999999999706,,,0
2018-01-08,19.2323,19.2737,19.3717,-0.13940000000000197,,,0
2018-01-09,19.3065,19.2323,19.2427,0.06380000000000052,,,0
2018-01-10,19.2405,19.3065,19.2737,-0.033200000000000784,,19.308185714285713,0
2018-01-11,19.3433,19.2405,19.2323,0.11100000000000065,-0.1465999999999994,19.287242857142854,1
2018-01-12,19.0446,19.3433,19.3065,-0.2619000000000007,-0.3271000000000015,19.240514285714287,0
2018-01-15,18.8113,19.0446,19.2405,-0.4292000000000016,-0.4314,19.178885714285716,0
2018-01-16,18.8362,18.8113,19.3433,-0.5070999999999977,-0.4375,19.116385714285713,0
2018-01-17,18.655,18.8362,19.0446,-0.38959999999999795,-0.5772999999999975,19.033914285714285,0
2018-01-18,18.6361,18.655,18.8113,-0.17520000000000024,-0.6704000000000008,18.938142857142857,0
2018-01-19,18.5813,18.6361,18.8362,-0.2549000000000028,-0.659200000000002,18.84397142857143,0
2018-01-22,18.7118,18.5813,18.655,0.05679999999999907,-0.6314999999999991,18.753757142857143,0
2018-01-23,18.798,18.7118,18.6361,0.16189999999999927,-0.24660000000000082,18.71852857142857,1
2018-01-24,18.5178,18.798,18.5813,-0.06349999999999767,-0.2934999999999981,18.6766,0
2018-01-25,18.478,18.5178,18.7118,-0.23379999999999868,-0.3582000000000001,18.625428571428568,0
2018-01-26,18.4672,18.478,18.798,-0.3308,-0.18780000000000285,18.5986,0
2018-01-29,18.6196,18.4672,18.5178,0.10179999999999723,-0.016500000000000625,18.596242857142858,1
2018-01-30,18.6982,18.6196,18.478,0.2201999999999984,0.11690000000000111,18.612942857142855,1
2018-01-31,18.6069,18.6982,18.4672,0.13970000000000127,-0.10490000000000066,18.597957142857144,1
2018-02-01,18.4004,18.6069,18.6196,-0.21919999999999717,-0.39759999999999707,18.54115714285714,0
2018-02-02,18.5248,18.4004,18.6982,-0.1734000000000009,0.006999999999997897,18.542157142857143,0
2018-02-06,18.7009,18.5248,18.6069,0.0940000000000012,0.2228999999999992,18.574,1
2018-02-07,18.6492,18.7009,18.4004,0.24879999999999924,0.18200000000000216,18.599999999999998,1
2018-02-08,18.8815,18.6492,18.5248,0.3567,0.2619000000000007,18.637414285714282,1
2018-02-09,18.8623,18.8815,18.7009,0.16140000000000043,0.16410000000000124,18.660857142857143,1
2018-02-12,18.6703,18.8623,18.6492,0.021100000000000563,0.06340000000000146,18.669914285714288,1
2018-02-13,18.6269,18.6703,18.8815,-0.25459999999999994,0.22649999999999793,18.70227142857143,0
2018-02-14,18.6025,18.6269,18.8623,-0.25980000000000203,0.0777000000000001,18.713371428571428,0
2018-02-15,18.5159,18.6025,18.6703,-0.15440000000000254,-0.18500000000000227,18.68694285714286,0
2018-02-16,18.4797,18.5159,18.6269,-0.147199999999998,-0.16949999999999932,18.66272857142857,0
2018-02-19,18.536,18.4797,18.6025,-0.06649999999999778,-0.3454999999999977,18.61337142857143,0
