run_datetime,forecast_family,market,size,quality,last_date,last_official_price,estimated_price,predicted_target_1d,predicted_delta_1d,direction_1d,mae_1d,rmse_1d,threshold_1d,direction_clf_1d,direction_clf_1d_es,confidence_clf_1d,prob_up_1d,prob_down_1d,f1_macro_1d,predicted_target_2d,predicted_delta_2d,direction_2d,mae_2d,predicted_target_3d,predicted_delta_3d,direction_3d,mae_3d,predicted_target_7d,predicted_delta_7d,direction_7d,mae_7d,lluvia_14d_lag6,usd_mxn,spike_230_lag14,import_lag2
2026-07-27 15:42:29,DELTA_V6,US_MCALLEN,110,BASE,2026-05-05,44.0,False,42.4268,-1.5732,BAJA,1.5088,2.2894,1.02,LATERAL,ESTABLE,0.6041,0.0959,0.3,0.3456,41.4762,-2.5238,BAJA,2.2052,40.1091,-3.8909,BAJA,2.9782,36.2737,-7.7263,BAJA,5.8196,0.0,17.4635,0.0,0.0
2026-07-27 15:42:38,DELTA_V6,US_MCALLEN,150,BASE,2026-05-05,41.0,False,40.7012,-0.2988,ESTABLE,1.5324,2.5124,0.57,DOWN,BAJA,0.5549,0.1857,0.5549,0.3552,39.7271,-1.2729,BAJA,2.344,38.1866,-2.8134,BAJA,3.136,35.9195,-5.0805,BAJA,5.6382,0.0,17.4635,0.0,0.0
2026-07-27 15:42:48,DELTA_V6,US_MCALLEN,175,BASE,2026-05-05,39.0,False,39.0429,0.0429,ESTABLE,1.3698,2.0988,0.27,DOWN,BAJA,0.7048,0.1705,0.7048,0.3468,38.2127,-0.7873,BAJA,2.0782,38.4735,-0.5265,BAJA,2.7439,35.8143,-3.1857,BAJA,4.9559,0.0,17.4635,0.0,0.0
2026-07-27 15:42:58,DELTA_V6,US_MCALLEN,200,BASE,2026-05-05,35.0,False,35.362,0.362,ESTABLE,1.4054,2.1334,0.59,LATERAL,ESTABLE,0.53,0.1926,0.53,0.3678,35.779,0.779,ESTABLE,1.9061,35.9758,0.9758,ESTABLE,2.4866,36.7467,1.7467,ESTABLE,4.7438,0.0,17.4635,0.0,0.0
2026-07-27 15:43:07,DELTA_V6,US_MCALLEN,230,BASE,2026-05-05,34.0,False,33.7713,-0.2287,ESTABLE,1.4619,2.2097,0.45,LATERAL,ESTABLE,0.509,0.2074,0.509,0.3575,34.1371,0.1371,ESTABLE,1.9165,34.1669,0.1669,ESTABLE,2.5348,34.2602,0.2602,ESTABLE,4.8934,0.0,17.4635,0.0,0.0
2026-07-27 15:43:17,DELTA_V6,US_MCALLEN,250,BASE,2026-05-05,31.0,False,31.04,0.04,ESTABLE,1.3684,2.1952,0.85,DOWN,BAJA,0.6269,0.152,0.6269,0.3315,31.2318,0.2318,ESTABLE,1.8905,31.2081,0.2081,ESTABLE,2.5211,31.5813,0.5813,ESTABLE,4.859,0.0,17.4635,0.0,0.0
